CISP,MUNICIPIO,LOCAL DO REGISTRO,DATA DO FATO,FAIXA DE HORA DO FATO,DESCRICAO,IDADE,COR,RELACAO COM VITIMA,LOCAL DO FATO,LEI APLICADA
57 CISP,NOLOPOLIS,NUAM - NOLOPOLIS,11/04/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,22,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
57 CISP,NOLOPOLIS,NUAM - NOLOPOLIS,11/04/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,4,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
57 CISP,NOLOPOLIS,NUAM - NOLOPOLIS,11/04/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,1,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
57 CISP,NOLOPOLIS,NUAM - NOLOPOLIS,11/04/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,13,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
57 CISP,NOLOPOLIS,NUAM - NOLOPOLIS,11/04/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
55 CISP,QUEIMADOS,NUAM - QUEIMADOS,5/05/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,34,PRETA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
58 CISP,NOVA IGUACU,DEAM - NOVA IGUACU,5/05/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,40,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
53 CISP,MESQUITA,NUAM - MESQUITA,6/05/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,45,PRETA,NENHUMA,OUTROS LOCAIS,SEM LEI ESPECIFICA
53 CISP,MESQUITA,NUAM - MESQUITA,6/05/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,45,PRETA,NENHUMA,OUTROS LOCAIS,SEM LEI ESPECIFICA
53 CISP,MESQUITA,NUAM - MESQUITA,7/05/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,45,PARDA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
53 CISP,MESQUITA,NUAM - MESQUITA,7/05/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,BRANCA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
59 CISP,DUQUE DE CAXIAS,DEAM - CENTRO,5/05/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,31,PRETA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
58 CISP,NOVA IGUACU,DEAM - NOVA IGUACU,6/05/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,40,PARDA,COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
54 CISP,BELFORD ROXO,DEAM - BELFORD ROXO,14/05/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,34,PRETA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
60 CISP,DUQUE DE CAXIAS,DEAM - DUQUE DE CAXIAS,15/05/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,36,PRETA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
54 CISP,BELFORD ROXO,DEAM - BELFORD ROXO,15/05/2018,MANHA - 06H AS 11H59,FEMINICIDIO,39,PRETA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
64 CISP,SAO JOAO DE MERITI,DEAM - SAO JOAO DE MERITI,20/05/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,40,PRETA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
50 CISP,ITAGUAI,OUTRAS DELEGACIAS,24/05/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO,28,BRANCA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
54 CISP,BELFORD ROXO,OUTRAS DELEGACIAS,26/05/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,39,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
59 CISP,DUQUE DE CAXIAS,OUTRAS DELEGACIAS,3/06/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,20,PRETA,COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
60 CISP,DUQUE DE CAXIAS,OUTRAS DELEGACIAS,12/06/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,79,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
60 CISP,DUQUE DE CAXIAS,OUTRAS DELEGACIAS,12/06/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,51,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
60 CISP,DUQUE DE CAXIAS,OUTRAS DELEGACIAS,12/06/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,51,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
60 CISP,DUQUE DE CAXIAS,OUTRAS DELEGACIAS,13/06/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,PRETA,NAO INFORMADO,VIA PUBLICA,SEM LEI ESPECIFICA
62 CISP,DUQUE DE CAXIAS,OUTRAS DELEGACIAS,12/06/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,37,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
62 CISP,DUQUE DE CAXIAS,OUTRAS DELEGACIAS,12/06/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,37,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
65 CISP,MAGE,OUTRAS DELEGACIAS,18/06/2018,MANHA - 06H AS 11H59,FEMINICIDIO,22,PRETA,EX-COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
59 CISP,DUQUE DE CAXIAS,DEAM - DUQUE DE CAXIAS,22/06/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,41,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
65 CISP,MAGE,OUTRAS DELEGACIAS,24/06/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,PRETA,NAO INFORMADO,VIA PUBLICA,SEM LEI ESPECIFICA
48 CISP,SEROPEDICA,OUTRAS DELEGACIAS,26/06/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,40,PRETA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
48 CISP,SEROPEDICA,OUTRAS DELEGACIAS,26/06/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,37,BRANCA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
64 CISP,SAO JOAO DE MERITI,OUTRAS DELEGACIAS,1/07/2018,NOITE - 18H AS 23H59,FEMINICIDIO,27,BRANCA,NAO INFORMADO,RESIDENCIA,SEM LEI ESPECIFICA
59 CISP,DUQUE DE CAXIAS,DEAM - DUQUE DE CAXIAS,3/07/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,21,BRANCA,NENHUMA,RESIDENCIA,SEM LEI ESPECIFICA
58 CISP,NOVA IGUACU,OUTRAS DELEGACIAS,3/07/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,23,NAO INFORMADO,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
59 CISP,DUQUE DE CAXIAS,DEAM - DUQUE DE CAXIAS,6/07/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,34,BRANCA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
59 CISP,DUQUE DE CAXIAS,DEAM - DUQUE DE CAXIAS,8/07/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,22,PRETA,COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
59 CISP,DUQUE DE CAXIAS,DEAM - DUQUE DE CAXIAS,8/07/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,22,PRETA,COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
65 CISP,MAGE,OUTRAS DELEGACIAS,10/07/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,18,BRANCA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
65 CISP,MAGE,OUTRAS DELEGACIAS,10/07/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,18,BRANCA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
59 CISP,DUQUE DE CAXIAS,OUTRAS DELEGACIAS,14/07/2018,TARDE - 12H AS 17H59,FEMINICIDIO,20,BRANCA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
59 CISP,DUQUE DE CAXIAS,DEAM - DUQUE DE CAXIAS,22/07/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,25,PRETA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
54 CISP,BELFORD ROXO,DEAM - BELFORD ROXO,26/07/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,54,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
54 CISP,BELFORD ROXO,DEAM - BELFORD ROXO,26/07/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,54,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
64 CISP,SAO JOAO DE MERITI,DEAM - SAO JOAO DE MERITI,6/08/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,41,PRETA,EX-COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
62 CISP,DUQUE DE CAXIAS,OUTRAS DELEGACIAS,12/08/2018,NOITE - 18H AS 23H59,FEMINICIDIO,29,PARDA,NAO INFORMADO,RESIDENCIA,SEM LEI ESPECIFICA
53 CISP,MESQUITA,OUTRAS DELEGACIAS,19/08/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,50,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
53 CISP,MESQUITA,NUAM - MESQUITA,26/08/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,PARDA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
66 CISP,MAGE,OUTRAS DELEGACIAS,26/08/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,31,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
54 CISP,BELFORD ROXO,OUTRAS DELEGACIAS,28/08/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,BRANCA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
54 CISP,BELFORD ROXO,OUTRAS DELEGACIAS,28/08/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,35,PARDA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
58 CISP,NOVA IGUACU,OUTRAS DELEGACIAS,29/08/2018,NOITE - 18H AS 23H59,FEMINICIDIO,46,PARDA,NAO INFORMADO,RESIDENCIA,SEM LEI ESPECIFICA
48 CISP,SEROPEDICA,OUTRAS DELEGACIAS,30/08/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,22,BRANCA,EX-COMPANHEIRO,OUTROS LOCAIS,LEI 11.340/2006 (LEI MARIA DA PENHA)
54 CISP,BELFORD ROXO,DEAM - BELFORD ROXO,30/08/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,51,BRANCA,PARENTE,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
