CISP,MUNICIPIO,LOCAL DO REGISTRO,DATA DO FATO,FAIXA DE HORA DO FATO,DESCRICAO,IDADE,COR,RELACAO COM VITIMA,LOCAL DO FATO,LEI APLICADA
31 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,17/01/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,82,PRETA,PARENTE,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
31 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,17/01/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,82,PRETA,NENHUMA,RESIDENCIA,SEM LEI ESPECIFICA
30 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,21/01/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,31,PRETA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
11 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,22/01/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,12,PARDA,PAI/MAE,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
21 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,23/01/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,24,BRANCA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
7 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,30/01/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,60,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
20 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,3/02/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,30,BRANCA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
39 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,4/02/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,25,BRANCA,NAO INFORMADO,NAO INFORMADO,SEM LEI ESPECIFICA
31 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,5/02/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,PARDA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
31 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,5/02/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,PARDA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
43 CISP,RIO DE JANEIRO,DEAM - CAMPO GRANDE,15/02/2018,NAO INFORMADO,FEMINICIDIO - TENTATIVA,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,RESIDENCIA,SEM LEI ESPECIFICA
28 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,10/02/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,29,PRETA,PARENTE,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
39 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,13/02/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO,29,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
21 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,16/02/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,17,PARDA,COMPANHEIRO,OUTROS LOCAIS,LEI 11.340/2006 (LEI MARIA DA PENHA)
32 CISP,RIO DE JANEIRO,DEAM - JACAREPAGUA,18/02/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,33,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
32 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,27/02/2018,NOITE - 18H AS 23H59,FEMINICIDIO,24,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
27 CISP,RIO DE JANEIRO,DEAM - CENTRO,16/03/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,25,BRANCA,EX-COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
43 CISP,RIO DE JANEIRO,DEAM - CAMPO GRANDE,24/03/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,15,PRETA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
43 CISP,RIO DE JANEIRO,DEAM - CAMPO GRANDE,24/03/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,42,PRETA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
35 CISP,RIO DE JANEIRO,DEAM - CAMPO GRANDE,26/03/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,37,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
10 CISP,RIO DE JANEIRO,DEAM - CENTRO,8/04/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,37,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
19 CISP,RIO DE JANEIRO,NUAM - TIJUCA,12/04/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,25,PARDA,COMPANHEIRO,OUTROS LOCAIS,LEI 11.340/2006 (LEI MARIA DA PENHA)
21 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,22/04/2018,NOITE - 18H AS 23H59,FEMINICIDIO,26,BRANCA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
25 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,1/05/2018,MANHA - 06H AS 11H59,FEMINICIDIO,40,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
34 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,14/01/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,0,NAO INFORMADO,NENHUMA,OUTROS LOCAIS,SEM LEI ESPECIFICA
22 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,14/05/2018,NOITE - 18H AS 23H59,FEMINICIDIO,43,PARDA,NENHUMA,OUTROS LOCAIS,SEM LEI ESPECIFICA
43 CISP,RIO DE JANEIRO,DEAM - CAMPO GRANDE,20/05/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,20,BRANCA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
19 CISP,RIO DE JANEIRO,NUAM - TIJUCA,24/05/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,50,PRETA,TRABALHO/ENSINO,OUTROS LOCAIS,SEM LEI ESPECIFICA
40 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,24/05/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,36,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
22 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,28/05/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,NAO INFORMADO,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
43 CISP,RIO DE JANEIRO,DEAM - CAMPO GRANDE,31/05/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,49,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
32 CISP,RIO DE JANEIRO,DEAM - JACAREPAGUA,1/06/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,36,PRETA,PARENTE,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
33 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,2/06/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,29,PARDA,NENHUMA,OUTROS LOCAIS,SEM LEI ESPECIFICA
33 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,2/06/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,19,BRANCA,NENHUMA,OUTROS LOCAIS,SEM LEI ESPECIFICA
35 CISP,RIO DE JANEIRO,DEAM - CAMPO GRANDE,31/05/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,38,BRANCA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
19 CISP,RIO DE JANEIRO,NUAM - TIJUCA,12/06/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,VIA PUBLICA,SEM LEI ESPECIFICA
11 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,18/06/2018,MANHA - 06H AS 11H59,FEMINICIDIO,41,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
34 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,19/06/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,PRETA,NAO INFORMADO,VIA PUBLICA,SEM LEI ESPECIFICA
35 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,16/06/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,37,PRETA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
41 CISP,RIO DE JANEIRO,DEAM - JACAREPAGUA,20/06/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,33,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
34 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,24/06/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,37,BRANCA,NAO INFORMADO,VIA PUBLICA,SEM LEI ESPECIFICA
32 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,29/06/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,25,BRANCA,OUTRAS,VIA PUBLICA,SEM LEI ESPECIFICA
18 CISP,RIO DE JANEIRO,DEAM - CENTRO,31/10/2017,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,23,BRANCA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
10 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,6/07/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,24,BRANCA,COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
36 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,7/07/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO,44,PARDA,NENHUMA,RESIDENCIA,SEM LEI ESPECIFICA
36 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,7/07/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,37,BRANCA,NENHUMA,RESIDENCIA,SEM LEI ESPECIFICA
33 CISP,RIO DE JANEIRO,NUAM - REALENGO,16/07/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,25,BRANCA,EX-COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
32 CISP,RIO DE JANEIRO,DEAM - JACAREPAGUA,21/07/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,22,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
17 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,25/07/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO,26,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
27 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,1/08/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,44,BRANCA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
27 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,1/08/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,35,PRETA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
27 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,1/08/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,37,BRANCA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
29 CISP,RIO DE JANEIRO,DEAM - DUQUE DE CAXIAS,5/08/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,33,PARDA,COMPANHEIRO,OUTROS LOCAIS,LEI 11.340/2006 (LEI MARIA DA PENHA)
45 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,6/08/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO,25,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
5 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,8/08/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,26,PARDA,PADRASTO/MADRASTA,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
33 CISP,RIO DE JANEIRO,NUAM - REALENGO,9/08/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,22,PRETA,OUTRAS,RESIDENCIA,SEM LEI ESPECIFICA
35 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,13/08/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,29,PARDA,EX-COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
32 CISP,RIO DE JANEIRO,DEAM - JACAREPAGUA,13/08/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,33,PRETA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
27 CISP,RIO DE JANEIRO,DEAM - CENTRO,16/08/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,45,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
35 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,27/08/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,VIA PUBLICA,SEM LEI ESPECIFICA
20 CISP,RIO DE JANEIRO,DEAM - CENTRO,27/08/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,45,PRETA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
29 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,30/08/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,37,PRETA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
42 CISP,RIO DE JANEIRO,DEAM - CAMPO GRANDE,1/09/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,37,PRETA,PARENTE,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
16 CISP,RIO DE JANEIRO,DEAM - CAMPOS,23/08/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,34,BRANCA,EX-COMPANHEIRO,OUTROS LOCAIS,LEI 11.340/2006 (LEI MARIA DA PENHA)
39 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,15/09/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,27,PARDA,NAO INFORMADO,NAO INFORMADO,SEM LEI ESPECIFICA
37 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,16/09/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO,NAO INFORMADO,PARDA,COMPANHEIRO,OUTROS LOCAIS,LEI 11.340/2006 (LEI MARIA DA PENHA)
35 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,17/09/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,34,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
33 CISP,RIO DE JANEIRO,NUAM - REALENGO,18/09/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,30,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
38 CISP,RIO DE JANEIRO,DEAM - DUQUE DE CAXIAS,24/06/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,35,BRANCA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
38 CISP,RIO DE JANEIRO,DEAM - DUQUE DE CAXIAS,24/06/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,35,BRANCA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
43 CISP,RIO DE JANEIRO,DEAM - CAMPO GRANDE,30/09/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,61,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
9 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,2/10/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,37,PARDA,NAO INFORMADO,VIA PUBLICA,SEM LEI ESPECIFICA
28 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,5/10/2018,NOITE - 18H AS 23H59,FEMINICIDIO,38,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
35 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,9/10/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,49,PRETA,COMPANHEIRO,VIA PUBLICA,SEM LEI ESPECIFICA
21 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,13/10/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,NAO INFORMADO,COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
41 CISP,RIO DE JANEIRO,DEAM - JACAREPAGUA,12/10/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,27,PARDA,COMPANHEIRO,OUTROS LOCAIS,LEI 11.340/2006 (LEI MARIA DA PENHA)
41 CISP,RIO DE JANEIRO,DEAM - JACAREPAGUA,12/10/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,27,PARDA,COMPANHEIRO,OUTROS LOCAIS,LEI 11.340/2006 (LEI MARIA DA PENHA)
22 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,15/10/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,32,PRETA,EX-COMPANHEIRO,OUTROS LOCAIS,LEI 11.340/2006 (LEI MARIA DA PENHA)
7 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,19/10/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,VIA PUBLICA,SEM LEI ESPECIFICA
7 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,19/10/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,VIA PUBLICA,SEM LEI ESPECIFICA
7 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,19/10/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,VIA PUBLICA,SEM LEI ESPECIFICA
7 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,19/10/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,VIA PUBLICA,SEM LEI ESPECIFICA
7 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,19/10/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,40,BRANCA,NAO INFORMADO,VIA PUBLICA,SEM LEI ESPECIFICA
7 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,19/10/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,VIA PUBLICA,SEM LEI ESPECIFICA
26 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,19/10/2018,TARDE - 12H AS 17H59,FEMINICIDIO,64,BRANCA,PARENTE,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
43 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,22/10/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,19,PARDA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
11 CISP,RIO DE JANEIRO,NUAM - ROCINHA,23/10/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,36,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
13 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,28/10/2018,MANHA - 06H AS 11H59,FEMINICIDIO,40,PARDA,NENHUMA,RESIDENCIA,SEM LEI ESPECIFICA
36 CISP,RIO DE JANEIRO,NUAM - SANTA CRUZ,31/10/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,PRETA,OUTRAS,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
25 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,2/11/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO,29,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
21 CISP,RIO DE JANEIRO,NUAM - BONSUCESSO,3/11/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,PARDA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
21 CISP,RIO DE JANEIRO,NUAM - BONSUCESSO,3/11/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,BRANCA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
4 CISP,RIO DE JANEIRO,DEAM - CENTRO,23/10/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,34,PRETA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
40 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,7/11/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,29,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
31 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,9/11/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,27,PARDA,PARENTE,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
31 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,15/11/2018,MANHA - 06H AS 11H59,FEMINICIDIO,16,PRETA,EX-COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
32 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,17/11/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,34,NAO INFORMADO,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
32 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,18/11/2018,NOITE - 18H AS 23H59,FEMINICIDIO,19,PARDA,OUTRAS,RESIDENCIA,SEM LEI ESPECIFICA
27 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,18/11/2018,NOITE - 18H AS 23H59,FEMINICIDIO,29,PARDA,EX-COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
26 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,22/11/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,34,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
39 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,25/11/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,32,BRANCA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
16 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,29/11/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,26,BRANCA,NAO INFORMADO,OUTROS LOCAIS,SEM LEI ESPECIFICA
36 CISP,RIO DE JANEIRO,DEAM - CAMPO GRANDE,21/11/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,34,PRETA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
39 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,5/12/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,PARDA,NAO INFORMADO,NAO INFORMADO,SEM LEI ESPECIFICA
22 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,9/12/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,27,PRETA,NAO INFORMADO,VIA PUBLICA,SEM LEI ESPECIFICA
39 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,14/12/2018,NOITE - 18H AS 23H59,FEMINICIDIO,30,PARDA,NAO INFORMADO,OUTROS LOCAIS,SEM LEI ESPECIFICA
42 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,15/12/2018,NOITE - 18H AS 23H59,FEMINICIDIO,0,BRANCA,NAO INFORMADO,NAO INFORMADO,SEM LEI ESPECIFICA
27 CISP,RIO DE JANEIRO,DEAM - CENTRO,22/12/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,28,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
35 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,24/12/2018,TARDE - 12H AS 17H59,FEMINICIDIO,24,PRETA,COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
29 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,26/12/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO,NAO INFORMADO,PARDA,COMPANHEIRO,OUTROS LOCAIS,LEI 11.340/2006 (LEI MARIA DA PENHA)
36 CISP,RIO DE JANEIRO,DEAM - CAMPO GRANDE,10/11/2018,NOITE - 18H AS 23H59,FEMINICIDIO,34,PRETA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
32 CISP,RIO DE JANEIRO,DEAM - JACAREPAGUA,28/12/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,15,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
